ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12138547,JD335734,08/14/2020 02:00:00 PM,024XX W 63RD ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,825.0,8.0,16.0,66.0,03,1161027.0,1862810.0,2020.0,08/21/2020 03:53:36 PM,41.779234743,-87.685207125,"(41.779234743, -87.685207125)"
12137512,JD333713,08/14/2020 10:00:00 PM,017XX S DESPLAINES ST,0460,BATTERY,SIMPLE,PARK PROPERTY,False,False,1235.0,12.0,11.0,31.0,08B,1172334.0,1891846.0,2020.0,08/21/2020 03:53:36 PM,41.858670972,-87.64289918,"(41.858670972, -87.64289918)"
12139573,JD336923,07/16/2020 12:00:00 AM,041XX W VAN BUREN ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1132.0,11.0,28.0,26.0,05,1148864.0,1897701.0,2020.0,08/21/2020 03:51:30 PM,41.875223384,-87.7288985,"(41.875223384, -87.7288985)"
12245042,JD459168,12/14/2020 02:43:00 PM,093XX S NORMAL AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,2223.0,22.0,21.0,73.0,06,1174608.0,1842975.0,2020.0,12/21/2020 03:47:08 PM,41.724513374,-87.63600723,"(41.724513374, -87.63600723)"
12245245,JD459267,12/14/2020 06:54:00 PM,109XX S DOTY AVE E,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,513.0,5.0,10.0,51.0,06,1185667.0,1832643.0,2020.0,12/21/2020 03:47:08 PM,41.695908161,-87.595822806,"(41.695908161, -87.595822806)"
12135867,JD332635,08/14/2020 02:00:00 PM,075XX N RIDGE BLVD,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2424.0,24.0,49.0,1.0,05,1160553.0,1950001.0,2020.0,08/21/2020 03:53:36 PM,42.018503716,-87.684527475,"(42.018503716, -87.684527475)"
12136112,JD332986,08/14/2020 01:00:00 PM,073XX S SOUTH SHORE DR,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,334.0,3.0,7.0,43.0,05,1195328.0,1857205.0,2020.0,08/21/2020 03:53:36 PM,41.763075995,-87.559642688,"(41.763075995, -87.559642688)"
12139406,JD336787,08/13/2020 09:00:00 PM,067XX S ROCKWELL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,831.0,8.0,17.0,66.0,07,1160200.0,1859965.0,2020.0,08/21/2020 03:51:30 PM,41.771444724,-87.68831724,"(41.771444724, -87.68831724)"
12136168,JD332944,08/14/2020 08:55:00 PM,027XX W AINSLIE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2031.0,20.0,40.0,4.0,07,1157025.0,1932564.0,2020.0,08/21/2020 03:53:36 PM,41.970728509,-87.697986024,"(41.970728509, -87.697986024)"
12136817,JD333239,08/14/2020 10:25:00 PM,050XX S WOODLAWN AVE,0810,THEFT,OVER $500,APARTMENT,False,False,222.0,2.0,4.0,39.0,06,1185086.0,1871842.0,2020.0,08/21/2020 03:53:36 PM,41.803487827,-87.596721328,"(41.803487827, -87.596721328)"
12136207,JD332905,08/14/2020 08:20:00 PM,015XX W CHICAGO AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1213.0,12.0,1.0,24.0,05,1165917.0,1905432.0,2020.0,08/21/2020 03:53:36 PM,41.896091239,-87.666065951,"(41.896091239, -87.666065951)"
12135490,JD332093,08/14/2020 12:00:00 PM,026XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2521.0,25.0,31.0,19.0,07,1143931.0,1917472.0,2020.0,08/21/2020 03:53:36 PM,41.929571102,-87.74651415,"(41.929571102, -87.74651415)"
